47	100	5	37.7551	-122.48105	12.39	38.84
86	100	2	37.74983	-122.43255	11.08	27.23
69	100	3	37.72532	-122.4935	10.36	31.8
12	101	4	37.78995	-122.422	21.99	65.92
91	101	1	37.71841		18.09	45.48
58	101	1	37.76262	-122.43193	12.74	28.07
80	101	4	37.77095	-122.41043	12.36	34.45
40	102	1	37.79851	-122.42116	24.32	56.05
43	102	3	37.79383	-122.43656	20.24	46.22
33	102	4	37.73256	-122.40266	15.55	37.31
22	102	2	37.71022	-122.45299	9.11	24.44
25	102	2	37.717	-122.4873	4.63	14.38
6	102	3	37.74741	-122.43358	2.46	7.14
32	103	5	37.70568	-122.48087	2.01	4.62
55	104	5	37.73895	-122.46739	24.63	57.87
27	104	4	37.79865	-122.48052	21.97	48.95
49	104	4	37.79894	-122.40181	21.09	46.7
76	104	5	37.71924	-122.49093	9.21	21.1
31	104	4	37.76191	-122.48797	2.48	7.15
50	105	1	37.70845	-122.41587	21.89	62.84
41	105	3	37.77558	-122.41802	21.39	61.52
24	105	4	37.77891	-122.46675	20.22	64.13
17	105	5	37.70231	-122.4049	13.68	32.1
75	105	1	37.72079	-122.4094	12.93	31.29
100	105		37.74078	-122.43505	12.56	34.47
67	105	1	37.795	-122.43184	10.73	31.41
93	105	1	37.70029	-122.47202		29.79
15	106	5	37.73762	-122.43656	23.93	67.06
65	106	2	37.70746	-122.49097	18.94	46.63
63	106	4	37.72909	-122.44835	12.15	32.4
35	106	4	37.71371	-122.48784	11.61	26.38
79	106	1	37.7271	-122.47515	10.59	28.02
46	106	3	37.74457	-122.43278	7.49	22.5
36	106	3	37.77839	-122.4103	4.71	13.73
92	106	2	37.76525			30.69
89	107	3	37.77605	-122.47051	23.85	64.29
28	107	5	37.7326	-122.44556	21.02	47.52
19	107	5	37.75416	-122.44973	16.27	45.77
20	107	4	37.77399	-122.47733	13.42	34.3
38	107	2	37.77063	-122.40059	10.69	28.02
52	107	1	37.79657	-122.46905	9.56	21.04
85	107	4	37.75263	-122.4453	1.7	4.44
21	108	4	37.72592	-122.43075	23.96	63.43
37	108	2	37.79675	-122.47804	23.86	61.99
53	108	5	37.7656	-122.47518	19.63	44.97
60	108	2	37.77293	-122.47948	18.76	59.58
78	108	3	37.77521	-122.45019	14.78	37.84
44	108	1	37.74538	-122.46608	14.27	44.62
84	108	2	37.77905	-122.49988	13.9	44.43
74	108	3	37.74062	-122.47613	12.6	36.15
71	108	4	37.7511	-122.48102	9.96	31.44
96	108	2	37.77473		9.14	
83	108	5	37.76363	-122.43014	3.69	8.38
8	109	2	37.77384	-122.46021	23	62.02
97	109		37.77216	-122.44044	20.34	64
11	109	1	37.71457	-122.44654	15.64	39.39
64	109	1	37.79363	-122.49825	12.02	36.3
51	109	1	37.74595	-122.48425	11.7	28.82
88	109	5	37.70674	-122.45043	5.81	17.23
73	109	4	37.7049	-122.40732	4.06	10.85
62	109	5	37.75678	-122.49875	2.46	6.07
99	109	2	37.76073	-122.46722		22.21
68	110	1	37.78402	-122.49983	19.02	57.8
2	110	4	37.75856	-122.45468	8.19	24.52
14	110	5	37.70526	-122.49998	4.63	10.66
95	111		37.70303	-122.45892	20.48	60.76
87	111	2	37.74929	-122.43042	18.24	46.74
39	111	1	37.7338	-122.45413	17.88	46.21
23	111	1	37.78346	-122.48801	10.32	30.05
1	111	1	37.75477	-122.49372	2.43	-5.85
94	111	3			2.18	5.83
54	112	5	37.70417	-122.49775	8.3	20.19
10	112	2	37.71509	-122.48238	6.57	15.99
13	112	1	37.74815	-122.45996	5.57	17.74
7	112	3	37.70226	-122.45383	5.03	11.65
4	113	2	37.77571	-122.4848	12.74	28.53
90	113	1	37.79488	-122.48536	10.44	25.19
70	113	3	37.78543	-122.47194	2.24	6.41
29	114	5	37.7815	-122.44832	20.85	64.18
82	114	1	37.75515	-122.49605	19.78	48.12
61	115	3	37.7767	-122.4383	16.43	37.42
48	115	5	37.78346	-122.46069	13.16	38
98	115			-122.46135	7.03	18.49
16	115	4	37.74804	-122.46881	4.46	13.16
59	116	5	37.70919	-122.4474	18.9	50.54
18	116	3	37.79785	-122.41367	17.71	43.59
45	116	2	37.79381	-122.40308	7.29	17.36
66	116	3	37.78869	-122.42967	6.55	20.29
30	116	5	37.70187	-122.45599	5.39	11.88
56	116	4	37.77339	-122.41878	4.34	11.82
81	116	4	37.79722	-122.47515	3.62	8.52
72	117	5	37.72034	-122.49194	23.4	61.09
9	117	3	37.78834	-122.41807	21.74	53.88
34	117	4	37.75078	-122.47523	13.56	41.71
5	117	5	37.77891	-122.41816	9.16	23.36
42	117	5	37.75706	-122.42996	-3.15	7.11
3	118	3	37.75252	-122.41249	18.51	46.05
57	118	2	37.70851	-122.49581	16.29	51.47
77	118	2	37.78873	-122.42503	10.91	28.52
26	119	4	37.76573	-122.46496	14.17	33.03
